record_type,analysis_family,surface,group,arm,left_arm,right_arm,condition,query_family,stratum,metric,value_pct,estimate_pp,ci95_lower_pp,ci95_upper_pp,row_count,history_cluster_count,bootstrap_samples,bootstrap_seed,source_file
absolute,matched_eight_arm,pooled_A_B,by_arm,graphiti_memory_16384,,,,,,exact_match,55.42,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,graphiti_memory_16384,,,,,,f1,59.78,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,graphiti_memory_4096,,,,,,exact_match,40.42,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,graphiti_memory_4096,,,,,,f1,47.71,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,hybrid_kg_memory_16384,,,,,,exact_match,69.17,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,hybrid_kg_memory_16384,,,,,,f1,70.24,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,hybrid_kg_memory_4096,,,,,,exact_match,67.50,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,hybrid_kg_memory_4096,,,,,,f1,70.03,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,sliding_context_16384,,,,,,exact_match,52.92,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,sliding_context_16384,,,,,,f1,57.42,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,sliding_context_4096,,,,,,exact_match,30.42,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,sliding_context_4096,,,,,,f1,33.64,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,structured_memory_16384,,,,,,exact_match,62.08,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,structured_memory_16384,,,,,,f1,64.60,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,structured_memory_4096,,,,,,exact_match,60.83,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm,structured_memory_4096,,,,,,f1,62.76,,,,240,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_16384,,,delayed_probe,,,exact_match,25.00,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_16384,,,delayed_probe,,,f1,32.22,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_16384,,,post_update,,,exact_match,60.42,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_16384,,,post_update,,,f1,67.64,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_16384,,,pre_update,,,exact_match,91.67,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_16384,,,pre_update,,,f1,91.67,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_16384,,,token_distance_4096,,,exact_match,50.00,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_16384,,,token_distance_4096,,,f1,53.96,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_16384,,,token_distance_8192,,,exact_match,50.00,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_16384,,,token_distance_8192,,,f1,53.40,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_4096,,,delayed_probe,,,exact_match,22.92,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_4096,,,delayed_probe,,,f1,31.54,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_4096,,,post_update,,,exact_match,62.50,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_4096,,,post_update,,,f1,69.58,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_4096,,,pre_update,,,exact_match,87.50,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,graphiti_memory_4096,,,pre_update,,,f1,88.33,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
