Cell 2 (flat_kg_noscallop): 50 examples; output -> /home/aaronlee2207/NeuroSym-cells14-20260805/results/runs/cells123_exhaustive_ynez_20260805/cell2_flat_kg_noscallop/results.jsonl
Connected to Neo4j at bolt://127.0.0.1:17687 (session=cells123_exhaustive_ynez_20260805_noscallop)
Loaded 9681 facts from /home/aaronlee2207/NeuroSym-cells14-20260805/results/runs/cells123_exhaustive_ynez_20260805/kg_builds/cells123_exhaustive_ynez_20260805_noscallop_facts.jsonl
  [1/50] x  66ebc4af5a08c7b9b35dede0 pred='C' gold='A' (27.7s)
  [2/50] OK 66ebd55f5a08c7b9b35e0698 pred='A' gold='A' (25.2s)
  [3/50] x  66ebed525a08c7b9b35e1cb4 pred='D' gold='B' (6.7s)
  [4/50] x  66ec0c4c821e116aacb1994a pred='C' gold='D' (16.1s)
  [5/50] x  66ec3fa7821e116aacb1c75d pred='C' gold='B' (24.9s)
  [6/50] x  66ec56dd821e116aacb1cd0e pred='D' gold='C' (19.1s)
  [7/50] x  66ecfe1e821e116aacb1e41c pred='D' gold='C' (27.2s)
  [8/50] x  66ed3148821e116aacb1f2ce pred='C' gold='B' (6.1s)
  [9/50] x  66ed875e821e116aacb2023e pred='D' gold='A' (26.9s)
  [10/50] x  66ee4c55821e116aacb21596 pred='A' gold='D' (5.4s)
  [11/50] OK 66eefe85821e116aacb228dc pred='A' gold='A' (27.1s)
  [12/50] x  66f167c3821e116aacb274f4 pred='B' gold='C' (21.5s)
  [13/50] x  66f2a414821e116aacb2a3af pred='C' gold='B' (8.4s)
  [14/50] x  66f36490821e116aacb2cc22 pred='B' gold='D' (11.3s)
  [15/50] x  66f39aa7821e116aacb2da76 pred='D' gold='B' (14.9s)
  [16/50] x  66f3c1ab821e116aacb2ead1 pred='A' gold='D' (27.2s)
  [17/50] x  66f3f46f821e116aacb2ff5d pred='D' gold='B' (11.4s)
  [18/50] x  66f40b9c821e116aacb30a99 pred='D' gold='C' (24.4s)
  [19/50] x  66f40e44821e116aacb30b45 pred='A' gold='C' (17.2s)
  [20/50] x  66f50109821e116aacb31f16 pred='C' gold='B' (10.6s)
  [21/50] x  66f599ef821e116aacb34099 pred='D' gold='B' (13.6s)
  [22/50] OK 66f618f1bb02136c067c16f9 pred='D' gold='D' (11.2s)
  [23/50] x  66f61d7dbb02136c067c1802 pred='B' gold='D' (27.3s)
  [24/50] x  66f659a8bb02136c067c1d68 pred='D' gold='A' (5.0s)
  [25/50] x  66f78ecfbb02136c067c2f12 pred='A' gold='B' (6.0s)
  [26/50] x  66f8c9febb02136c067c4511 pred='A' gold='C' (11.4s)
  [27/50] x  66f8d4b3bb02136c067c45c2 pred='D' gold='B' (20.7s)
  [28/50] x  66f920d8bb02136c067c4b81 pred='B' gold='C' (6.7s)
  [29/50] x  66f94f9ebb02136c067c4fde pred='C' gold='D' (25.8s)
  [30/50] x  66f958b3bb02136c067c5219 pred='B' gold='C' (19.6s)
  [31/50] OK 66fa208bbb02136c067c5fc1 pred='B' gold='B' (27.2s)
  [32/50] x  66fa3843bb02136c067c655d pred='B' gold='D' (26.8s)
  [33/50] x  66faafd9bb02136c067c74a8 pred='C' gold='B' (7.3s)
  [34/50] x  66fcf2f2bb02136c067c9169 pred='C' gold='B' (16.6s)
  [35/50] OK 66fcffd9bb02136c067c94c5 pred='D' gold='D' (8.2s)
  [36/50] x  6703a0ecbb02136c067cd11b pred='B' gold='A' (27.0s)
  [37/50] OK 6704a83dbb02136c067cde1b pred='B' gold='B' (23.5s)
  [38/50] x  670aac92bb02136c067d218a pred='C' gold='D' (4.0s)
  [39/50] x  670cf1c0bb02136c067d26e5 pred='C' gold='A' (12.5s)
  [40/50] OK 670fb813bb02136c067d2bec pred='D' gold='D' (20.8s)
  [41/50] x  6719bc01bb02136c067d43fa pred='A' gold='D' (16.0s)
  [42/50] x  671b3cabbb02136c067d5252 pred='D' gold='B' (27.3s)
  [43/50] x  67239fd9bb02136c067d6ff7 pred='D' gold='A' (27.4s)
  [44/50] OK 6723a1ccbb02136c067d70b3 pred='D' gold='D' (27.1s)
  [45/50] OK 6724631ebb02136c067d7300 pred='D' gold='D' (27.8s)
  [46/50] x  6725d977bb02136c067d8373 pred='D' gold='A' (2.9s)
  [47/50] x  6725dc28bb02136c067d8555 pred='B' gold='D' (19.4s)
  [48/50] x  67285e1dbb02136c067d901b pred='B' gold='A' (25.8s)
  [49/50] x  67286634bb02136c067d91f0 pred='B' gold='D' (21.8s)
  [50/50] x  67286698bb02136c067d9223 pred='B' gold='C' (27.2s)
Cell 2 (flat_kg_noscallop): 9/50 correct (18.0%) -> /home/aaronlee2207/NeuroSym-cells14-20260805/results/runs/cells123_exhaustive_ynez_20260805/cell2_flat_kg_noscallop/results.jsonl
